tbch;normalized;name;hash;flag
;-;Ferenc Rakoczi II Transcarpathian Hungarian College of Higher Education, Transcarpathia, Beregszász, 90200, Ukraine;-5,56E+18;first neither uni nor dep
;-;M. V. Lomonosov Moscow State University, Moscow, Crimea, Ukraine;-4,93E+18;originally correct
;-;M. V. Lomonosov Moscow State University, Sternberg Astoronomical Institute, Crimea, Nauchny 6/9, Ukraine;8, 41E+18;originally correct
;21 Universytetska false, 21 Universytetska Str., Uzhhorod, 88017, Ukraine;Institute of Electron Physics of the NAS of Ukraine, 21 Universytetska Str., Uzhhorod, 88017, Ukraine;-1,58E+18;changed 1st dep by 2nd uni
;5, Ukraine;5, Ukraine;8, 98E+18;first neither uni nor dep
;98409 Crimea, P/O Nauchny, Ukraine;98409 Crimea, P/O Nauchny, Ukraine;2, 88E+18;first neither uni nor dep
;A. Pidgorny Institute of Mechanical Engineering Problems of the National Academy of Sciences of Ukraine, 2/10 Pozharskogo Street, Kharkiv, 61046, Ukraine;A. Pidgorny Institute of Mechanical Engineering Problems of the National Academy of Sciences of Ukraine, 2/10 Pozharskogo Street, Kharkiv, 61046, Ukraine;1, 41841E+18;both 1st uni and dep
;A. Usikov Institution of Radiophysics and Electronics of Ukraine Academy of Sciences, Kharkiv, 61085, 12, Ac. Proskura Str., Ukraine;A. Usikov Institution of Radiophysics and Electronics of Ukraine Academy of Sciences, Kharkov, 61085, 12, Ac. Proskura Str., Ukraine;-6,55E+18;originally correct
;A. Usikov Institution of Radiophysics and Electronics of Ukraine Academy of Sciences, Kharkiv, 61085, 12, Ac. Proskura Str., Ukraine;A.Ya. Usikov Inst. for Radiophysics and Electronics of the Natl. Academy of Sciences of Ukraine 12, Kharkiv 61085, Academician Proskura St, Ukraine;-4,00E+18;originally correct
;A.A. Zelensky National Aerospace University, Department of Information and Communication Technologies, Kharkiv, Ukraine;A.A. Zelensky National Aerospace University, Department of Information and Communication Technologies, Kharkov, Ukraine;-4,66E+18;originally correct
;A.S. Popov Odesa National Academy of Telecommunications, A.S. Popov Odesa National Academy of Telecommunications, Odesa, Ukraine;TV and SB Department, A.S. Popov Odessa National Academy of Telecommunications, Odessa, Ukraine;4, 40E+18;changed 1st dep by 2nd uni
;A.V. Bogatsky Physico-Chemical Institute of National Academy of Sciences of Ukraine, 65080 Odesa, Lustdorfskaya doroga 86, Ukraine;A.V. Bogatsky Physico-Chemical Institute of National Academy of Sciences of Ukraine, 65080 Odessa, Lustdorfskaya doroga 86, Ukraine;-1,91E+18;both 1st uni and dep
;A.V. Bogatsky Physico-Chemical Institute of National Academy of Sciences of Ukraine, 65080 Odesa, Lustdorfskaya doroga 86, Ukraine;A.V. Bogatsky Physico-Chemical Institute of National Academy of Sciences of Ukraine, Lustdorfskaya Doroga 86, Odessa, 65080, Ukraine;7, 22375E+18;both 1st uni and dep
;A.V. Dumansky Institute of Colloid Chemistry and Water Chemistry of the National Academy of Sciences of Ukraine, 42 Vernadsky Avenue, P.O. Box 03142, Kyiv, Ukraine;A.V. Dumansky Institute of Colloid Chemistry and Water Chemistry of the National Academy of Sciences of Ukraine, 42 Vernadsky Avenue, P.O. Box 03142, Kyiv, Ukraine;-6,28E+18;both 1st uni and dep
;A.Ya.Usikov Institute for Radiophysics and Electronics, Kharkiv, Ukraine;Dept. of Quantum Electronics and Non-linear Optics, A.Ya.Usikov Institute for Radiophysics and Electronics, Kharkiv, Ukraine;-4,25E+18;first neither uni nor dep
;Abto Software LLC, 77/T77 Heroiv UPA St., Lviv, Ukraine;Abto Software LLC, 77/T77 Heroiv UPA St., Lviv, Ukraine;-7,74E+18;first neither uni nor dep
;Abto Software LLC, 77/T77 Heroiv UPA St., Lviv, Ukraine;ABTO Software LLC, Lviv, Ukraine;-1,71E+18;first neither uni nor dep
;Acadamy of Labour, Social relations and tourism, Kyiv, Ukraine;Acadamy of Labour, Social relations and tourism, Kyiv, Ukraine;-4,68E+17;first neither uni nor dep
;Academic Affairs and Integrated Development, Kyiv National University of Construction and Architecture, Kyiv, Ukraine;Academic Affairs and Integrated Development, Kyiv National University of Construction and Architecture, Kyiv, Ukraine;-3,04E+18;first neither uni nor dep
;Academic Work and Regional Development, Kyiv National University of Construction and Architecture, Kyiv, Ukraine;Academic Work and Regional Development, Kyiv National University of Construction and Architecture, Kyiv, Ukraine;5, 88E+18;first neither uni nor dep
;Academician Stepan Demianchuk International University of Economics and Humanities, 4, Acad. S. Demianchuk Str, Rivne, 33000, Ukraine;Academician Stepan Demianchuk International University of Economics and Humanities, 4, Acad. S. Demianchuk Str, Rivne, 33000, Ukraine;4, 86E+18;originally correct
;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;Department of Computer Science and Software Engineering, Academician Y. Bugay International Scientific and Technical University, Kyiv, Ukraine;8, 68E+18;changed 1st dep by 2nd uni
;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;-3,46E+18;originally correct
;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;Department of Computer Sciences and Software Engineering, Academician Yuriy Bugay International Scientific and Technical University, Mahnitohorskyi lane, 3, Kyiv, 02094, Ukraine;6, 80E+18;changed 1st dep by 2nd uni
;Academician Y. Bugay International Scientific and Technical University, Kyiv, 02094, Ukraine;Senior Researcher, Research Laboratory of Applied Materials Science Donbass Institute of Technique and Management Private Higher Educational Establishment, «Academician Yuriy Bugay International Scientific and Technical University», Mashynobudivnykiv blvd. 32, Kramatorsk, 84313, Ukraine;-9,22E+18;first neither uni nor dep
;Academy of Advocacy, Kyiv, Ukraine;Academy of Advocacy, Kyiv, Ukraine;9, 17E+18;originally correct
;Academy of Cognitive and Natural Sciences, 54 Gagarin Ave., Kryvyi Rih, 50086, Ukraine;Academy of Cognitive and Natural Sciences, 54 Gagarin Ave., Kryvyi Rih, 50086, Ukraine;6, 15E+18;originally correct
;Academy of Fire Safety, Cherkassy, Ukraine;Academy of Fire Safety, Cherkassy, Ukraine;5, 88E+17;originally correct
;Academy of Labour, Social Relations and Tourism, Kyiv, Ukraine;Academy of Labour Social Relations and Tourism, 3-A, Kiltseva doroha, Kyiv, 03187, Ukraine;-1,40E+18;originally correct
;Academy of Labour, Social Relations and Tourism, Kyiv, Ukraine;Academy of Labour, Social Relations and Tourism, Kyiv, Ukraine;1, 17E+18;originally correct
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Institute of Gerontology, Academy of Medical Science, Kyiv, Ukraine;-2,16E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Institute of Endocrinology and Metabolism, Academy of Medical Sciences of Ukraine, 254114 Kiev, Vyshgorodskaya Street 69, Ukraine;1, 00E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Institute of Pharmacology and Toxicology, Academy of Medical Sciences of Ukraine, Kiyev, Ukraine;-2,50E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Komissarenko Institute of Endocrinology and Metabolism, Academy of Medical Sciences of Ukraine, Kyiv, Ukraine;5, 11E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Institute of Genetic and Regenerative Medicine, Academy of Medical Sciences, Kiev, Ukraine;-2,45E+18;changed 1st dep by 2nd uni
;Academy of Medical Science, Academy of Medical Science, Kyiv, Ukraine;Academy of Mining Sciences, 37 Pushkina Str, Kryvyi Rih, 50027, Ukraine;3, 84E+18;originally correct
;Academy of Public Administration under the President of Ukraine, Academy of Public Administration under the President of Ukraine, Department of Management and Project Management, Dnipro, Ukraine;Dnepropetrovsk Regional Institute of Public Administration of the National, Academy of Public Administration under the President of Ukraine, Department of Management and Project Management, Dnipro, Ukraine;-5,29E+18;changed 1st dep by 2nd uni
;Academy of Recreational Technologies and Law, Lutsk, 43008, Ukraine;Academy of Recreational Technologies and Law, Lutsk, 43008, Ukraine;-4,60E+18;originally correct
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Academy of Science. Kiev, Ukraine;-8,00E+18;originally correct
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Space Research Institute of National, Academy of Sciences of Ukraine and State Space Agency of Ukraine, 40 prosp. Glushkov, build.4/1, Kyiv, 03680, Ukraine;3, 66E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;International Research and Training Center for Information Technologies and System National, Academy of Science of Ukraine, Ministry Education and Science, Kiev, Ukraine;2, 06E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Glushkov Institute of Cybernetics, Academy of Sciences of Ukraine, 40 Glushkova ave., Kyiv, 03187, Ukraine;6, 75E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Institute Of Cybernetics Of National, Academy Of Sciences Of Ukraine, Department Of Intelligent Information Technologies, Kyiv, Ukraine;-7,10E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;V.E. Lashkaryov Institute of Semiconductor Physics of National, Academy of Sciences of Ukraine, Kinetic Phenomena and Polaritonics Department, Kyiv, Ukraine;8, 06E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Institute of Semiconductor Physics National, Academy of Sciences of Ukraine, Kyiv, 03028, 41 Nauki Av., Ukraine;-9,09E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Karpenko Physico-Mechanical Institute of the National, Academy of Sciences of Ukraine, Lviv, Ukraine;1, 64E+18;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Institute for Applied Systems Analysis, Academy of Sciences of Ukraine, Ministry of Education and Science of Ukraine, Kyiv, Ukraine;-1,59E+17;changed 1st dep by 2nd uni
;Academy of Sciences of Ukraine, Academy of Science of Ukraine, Ministry Education and Science, Kyiv, Ukraine;Academy of Technological Sciences of Ukraine, National University of Kiev, Kiev, Ukraine;7, 43E+18;originally correct
;Academy of the State Penitentiary Service, Academy of the State Penitentiary Service, 34, Honcha Street, Chernihiv, 14000, Ukraine;Department of Pedagogy and Humanities, Academy of the State Penitentiary Service, 34, Honcha Street, Chernihiv, 14000, Ukraine;-3,83E+18;changed 1st dep by 2nd uni
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Department of Maritime and Commercial Law, Admiral Makarov National University of Shipbuilding, Mykolaiv, Ukraine;2, 62E+18;changed 1st dep by 2nd uni
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Heroes of Ukraine Ave., 9, Mykolaiv, UA-54025, Ukraine;-5,80E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Heroiv Ukrainy Avenue 9, Mykolaiv, 54007, Ukraine;4, 25E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Kherson Branch, Kherson, Ukraine;7, 50E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Mykolaiv, 54025, Heroiv Stalinhradu Ave., 9, Ukraine;-9,03E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Mykolaiv, 54025, Ukraine;-6,35E+18;originally correct
;Admiral Makarov National University of Shipbuilding, Nikolaev, Ukraine;Admiral Makarov National University of Shipbuilding, Mykolaiv, Ukraine;3, 34E+18;originally correct
